Time (EET),Open,High,Low,Close,Volume 
2025.01.02 06:20:00,21097.832,21100.998,21081.653,21098.432,0.0965
2025.01.02 06:30:00,21098.675,21115.932,21096.997,21113.186,0.0925
2025.01.02 06:40:00,21113.41,21121.899,21111.487,21116.897,0.0779
2025.01.02 06:50:00,21117.198,21129.165,21115.387,21118.389,0.0771
2025.01.02 07:00:00,21118.81,21124.786,21115.286,21117.497,0.0892
2025.01.02 07:10:00,21117.765,21148.309,21117.375,21144.443,0.1159
2025.01.02 07:20:00,21144.253,21146.897,21138.264,21143.787,0.093
2025.01.02 07:30:00,21143.398,21153.899,21134.819,21147.331,0.0884
2025.01.02 07:40:00,21146.987,21167.389,21146.742,21167.389,0.0917
2025.01.02 07:50:00,21167.62,21170.165,21158.742,21164.487,0.0787
2025.01.02 08:00:00,21164.675,21166.986,21156.787,21163.221,0.0776
2025.01.02 08:10:00,21165.219,21176.209,21158.31,21175.798,0.0743
2025.01.02 08:20:00,21175.887,21176.175,21150.409,21157.765,0.0866
2025.01.02 08:30:00,21157.82,21183.409,21155.353,21176.297,0.1031
2025.01.02 08:40:00,21175.932,21184.421,21173.231,21177.686,0.0688
2025.01.02 08:50:00,21178.287,21189.999,21173.432,21183.189,0.0723
2025.01.02 09:00:00,21183.253,21191.487,21174.453,21182.232,0.1131
2025.01.02 09:10:00,21182.175,21182.489,21165.754,21172.643,0.0871
2025.01.02 09:20:00,21172.453,21176.731,21167.331,21175.954,0.0921
2025.01.02 09:30:00,21175.753,21175.753,21154.754,21164.231,0.1026
2025.01.02 09:40:00,21164.164,21166.476,21139.965,21148.143,0.1087
2025.01.02 09:50:00,21147.81,21159.676,21145.976,21151.442,0.112
2025.01.02 10:00:00,21151.697,21203.61,21148.131,21200.498,0.2336
2025.01.02 10:10:00,21199.989,21217.943,21185.432,21200.464,0.2028
2025.01.02 10:20:00,21200.932,21200.932,21136.831,21140.875,0.2114
2025.01.02 10:30:00,21141.198,21160.697,21112.41,21129.343,0.2456
2025.01.02 10:40:00,21129.297,21168.519,21128.775,21162.965,0.2224
