Time (EET),Open,High,Low,Close,Volume 
2025.01.02 18:00:00,21076.249,21088.468,20988.846,21030.69,0.43831
2025.01.02 18:10:00,21029.958,21077.479,20998.736,21072.958,0.39594
2025.01.02 18:20:00,21073.114,21103.735,21028.279,21095.192,0.39441
2025.01.02 18:30:00,21095.114,21124.691,21072.169,21105.447,0.37694
2025.01.02 18:40:00,21103.746,21152.114,21094.136,21146.947,0.36121
2025.01.02 18:50:00,21147.081,21157.835,21091.101,21118.29,0.35084
2025.01.02 19:00:00,21118.379,21137.603,21081.881,21091.446,0.36092
2025.01.02 19:10:00,21091.426,21143.646,21088.191,21098.779,0.35604
2025.01.02 19:20:00,21098.98,21100.925,20945.291,20953.158,0.39202
2025.01.02 19:30:00,20952.825,20952.825,20849.735,20858.203,0.43676
2025.01.02 19:40:00,20857.825,20877.381,20802.99,20802.99,0.42884
2025.01.02 19:50:00,20802.411,20892.668,20785.191,20876.381,0.4214
2025.01.02 20:00:00,20876.438,20895.902,20796.98,20880.179,0.41575
2025.01.02 20:10:00,20879.601,20879.825,20807.413,20845.592,0.39848
2025.01.02 20:20:00,20844.724,20879.658,20832.911,20870.925,0.3729
2025.01.02 20:30:00,20871.149,20871.149,20800.39,20827.347,0.38328
2025.01.02 20:40:00,20825.48,20873.457,20808.247,20832.081,0.36524
2025.01.02 20:50:00,20831.581,20859.424,20794.611,20854.911,0.37367
2025.01.02 21:00:00,20853.913,20910.758,20835.892,20878.457,0.37353
2025.01.02 21:10:00,20879.325,20898.269,20865.879,20884.447,0.35688
2025.01.02 21:20:00,20884.291,20930.314,20878.401,20918.979,0.34537
2025.01.02 21:30:00,20918.469,20921.691,20874.092,20897.001,0.34031
2025.01.02 21:40:00,20896.011,20947.168,20871.292,20925.624,0.34112
2025.01.02 21:50:00,20925.435,20951.258,20864.581,20870.303,0.35883
2025.01.02 22:00:00,20870.28,20941.691,20869.236,20934.891,0.35853
2025.01.02 22:10:00,20934.335,20984.691,20930.947,20963.146,0.35366
2025.01.02 22:20:00,20963.701,20975.724,20945.379,20960.78,0.33426
2025.01.02 22:30:00,20961.411,20999.401,20925.211,20934.724,0.38317
2025.01.02 22:40:00,20935.179,20976.247,20933.603,20968.379,0.36477
2025.01.02 22:50:00,20968.315,20992.092,20947.336,20974.379,0.38658
2025.01.02 23:00:00,20973.911,21004.368,20973.911,20987.202,0.23925
2025.01.02 23:10:00,20987.18,20995.891,20975.825,20993.969,0.08375
2025.01.03 01:00:00,20995.502,20998.058,20974.911,20983.602,0.05598
2025.01.03 01:10:00,20983.824,20994.158,20980.89,20991.211,0.04554
2025.01.03 01:20:00,20991.547,20992.168,20960.347,20971.103,0.08901
2025.01.03 01:30:00,20971.301,20979.09,20961.701,20964.469,0.06957
2025.01.03 01:40:00,20964.125,20970.835,20955.557,20962.39,0.05265
2025.01.03 01:50:00,20962.48,20975.613,20960.458,20974.668,0.06588
2025.01.03 02:00:00,20974.311,21006.592,20965.503,21004.424,0.10161
2025.01.03 02:10:00,21004.847,21021.792,21004.847,21013.48,0.10584
2025.01.03 02:20:00,21014.146,21036.791,21003.111,21029.479,0.09882
2025.01.03 02:30:00,21029.568,21047.125,21028.091,21044.158,0.09315
2025.01.03 02:40:00,21043.881,21049.358,21039.068,21043.201,0.07542
2025.01.03 02:50:00,21043.58,21050.49,21037.658,21050.313,0.06417
2025.01.03 03:00:00,21050.169,21059.014,21041.101,21055.479,0.08559
2025.01.03 03:10:00,21055.658,21058.925,21045.59,21049.458,0.07767
2025.01.03 03:20:00,21049.292,21050.014,21027.803,21035.602,0.08829
2025.01.03 03:30:00,21035.569,21045.368,21027.302,21038.946,0.10278
2025.01.03 03:40:00,21039.09,21041.435,21016.811,21026.935,0.10692
2025.01.03 03:50:00,21026.992,21043.035,21025.981,21035.792,0.10701
2025.01.03 04:00:00,21035.701,21046.869,21033.39,21036.935,0.09693
2025.01.03 04:10:00,21036.611,21053.414,21034.781,21052.635,0.08037
2025.01.03 04:20:00,21052.835,21060.624,21050.524,21054.958,0.08874
2025.01.03 04:30:00,21054.835,21056.158,21038.324,21046.103,0.09342
2025.01.03 04:40:00,21045.925,21049.669,21038.347,21038.824,0.07047
2025.01.03 04:50:00,21038.711,21053.846,21032.547,21053.846,0.07254
2025.01.03 05:00:00,21054.046,21069.481,21053.491,21064.469,0.09306
2025.01.03 05:10:00,21064.546,21069.558,21060.469,21062.402,0.06768
2025.01.03 05:20:00,21062.369,21070.868,21056.301,21061.701,0.07524
2025.01.03 05:30:00,21061.811,21067.846,21058.591,21060.481,0.06174
2025.01.03 05:40:00,21062.002,21066.457,21059.624,21065.313,0.04356
2025.01.03 05:50:00,21065.413,21065.413,21055.491,21059.414,0.04338
2025.01.03 06:00:00,21059.669,21066.036,21050.711,21052.857,0.05175
2025.01.03 06:10:00,21052.87,21056.146,21047.68,21055.49,0.04365
2025.01.03 06:20:00,21055.325,21058.558,21052.603,21055.558,0.03627
2025.01.03 06:30:00,21055.69,21056.568,21043.481,21046.468,0.0432
2025.01.03 06:40:00,21046.358,21048.524,21041.136,21045.646,0.04509
2025.01.03 06:50:00,21045.558,21051.168,21034.401,21035.524,0.05517
2025.01.03 07:00:00,21035.679,21038.113,21023.58,21030.402,0.07974
2025.01.03 07:10:00,21030.136,21034.792,21022.079,21024.911,0.05985
2025.01.03 07:20:00,21025.368,21035.892,21018.49,21034.524,0.07119
2025.01.03 07:30:00,21034.124,21040.669,21029.081,21040.347,0.06228
2025.01.03 07:40:00,21039.911,21042.881,21033.424,21040.579,0.05058
2025.01.03 07:50:00,21040.435,21041.591,21028.647,21037.103,0.06669
2025.01.03 08:00:00,21036.201,21039.291,21031.611,21036.657,0.05373
2025.01.03 08:10:00,21036.968,21049.179,21029.936,21049.158,0.06957
2025.01.03 08:20:00,21048.946,21054.357,21044.401,21051.435,0.06282
2025.01.03 08:30:00,21051.481,21067.89,21051.38,21055.647,0.0702
2025.01.03 08:40:00,21056.457,21059.969,21047.801,21050.468,0.05337
2025.01.03 08:50:00,21050.379,21058.035,21047.381,21048.625,0.05319
2025.01.03 09:00:00,21048.18,21056.657,21031.491,21034.069,0.09306
2025.01.03 09:10:00,21030.968,21054.313,21022.136,21050.013,0.11439
2025.01.03 09:20:00,21049.892,21050.503,21035.791,21045.169,0.0918
2025.01.03 09:30:00,21044.903,21051.636,21040.611,21048.614,0.07623
2025.01.03 09:40:00,21049.324,21059.125,21044.201,21054.411,0.07119
2025.01.03 09:50:00,21054.311,21063.668,21053.401,21056.447,0.07434
2025.01.03 10:00:00,21058.847,21083.146,21054.892,21075.003,0.18711
2025.01.03 10:10:00,21074.825,21086.114,21066.611,21075.146,0.1656
2025.01.03 10:20:00,21075.292,21076.636,21038.114,21039.168,0.15822
2025.01.03 10:30:00,21038.892,21043.981,21024.624,21035.179,0.15822
