Time (EET),Open,High,Low,Close,Volume 
2026.01.02 01:00:00,25285.419,25290.492,25252.408,25263.211,0.0243
2026.01.02 01:05:00,25263.386,25278.244,25261.777,25277.386,0.01786
2026.01.02 01:10:00,25277.461,25293.919,25277.049,25282.636,0.02262
2026.01.02 01:15:00,25282.711,25294.125,25280.651,25283.483,0.01931
2026.01.02 01:20:00,25284.18,25293.147,25282.901,25291.169,0.01444
2026.01.02 01:25:00,25291.277,25295.658,25284.081,25285.255,0.01549
2026.01.02 01:30:00,25285.505,25298.625,25279.614,25295.147,0.019
2026.01.02 01:35:00,25295.049,25298.908,25293.472,25294.961,0.01099
2026.01.02 01:40:00,25293.908,25295.777,25287.281,25293.016,0.01018
2026.01.02 01:45:00,25293.169,25304.68,25292.151,25300.875,0.01378
2026.01.02 01:50:00,25300.777,25301.103,25291.408,25291.408,0.00864
2026.01.02 01:55:00,25291.549,25299.299,25289.901,25299.092,0.0085
2026.01.02 02:00:00,25298.483,25300.81,25289.027,25297.114,0.01279
2026.01.02 02:05:00,25297.277,25301.919,25276.516,25282.211,0.0172
2026.01.02 02:10:00,25282.897,25295.005,25281.722,25289.342,0.01589
2026.01.02 02:15:00,25288.777,25301.56,25286.244,25300.831,0.01694
2026.01.02 02:20:00,25300.68,25309.842,25300.68,25304.18,0.01508
2026.01.02 02:25:00,25304.211,25310.18,25299.853,25308.038,0.00922
2026.01.02 02:30:00,25307.614,25310.038,25305.744,25307.31,0.01044
2026.01.02 02:35:00,25307.505,25309.711,25300.722,25302.342,0.01096
2026.01.02 02:40:00,25302.625,25304.581,25295.93,25301.972,0.01125
2026.01.02 02:45:00,25302.136,25309.549,25301.233,25302.549,0.01569
2026.01.02 02:50:00,25302.331,25308.777,25299.31,25307.281,0.00986
2026.01.02 02:55:00,25307.625,25316.027,25305.151,25312.961,0.0107
2026.01.02 03:00:00,25314.114,25324.886,25312.831,25322.277,0.02482
2026.01.02 03:05:00,25321.901,25328.158,25321.401,25327.016,0.01975
2026.01.02 03:10:00,25326.93,25338.636,25326.842,25332.711,0.01923
2026.01.02 03:15:00,25333.266,25337.961,25329.651,25329.669,0.0196
2026.01.02 03:20:00,25329.651,25331.755,25320.647,25321.353,0.02424
2026.01.02 03:25:00,25321.233,25336.244,25320.919,25334.288,0.01723
2026.01.02 03:30:00,25334.151,25354.908,25333.516,25354.244,0.02561
2026.01.02 03:35:00,25353.711,25356.299,25349.983,25350.961,0.02015
2026.01.02 03:40:00,25350.658,25353.81,25349.494,25352.353,0.01322
2026.01.02 03:45:00,25352.538,25353.614,25349.016,25352.799,0.01386
2026.01.02 03:50:00,25352.864,25355.527,25348.092,25348.092,0.0154
2026.01.02 03:55:00,25348.049,25358.766,25344.031,25357.669,0.01659
2026.01.02 04:00:00,25357.722,25370.592,25357.505,25369.516,0.01879
2026.01.02 04:05:00,25369.375,25372.886,25364.961,25367.038,0.01812
2026.01.02 04:10:00,25366.93,25375.027,25363.136,25375.027,0.0156
2026.01.02 04:15:00,25375.125,25378.983,25370.875,25374.592,0.0163
2026.01.02 04:20:00,25374.538,25388.538,25373.266,25385.016,0.01676
2026.01.02 04:25:00,25385.125,25394.994,25385.103,25392.505,0.01691
2026.01.02 04:30:00,25392.158,25393.255,25387.401,25392.592,0.01586
2026.01.02 04:35:00,25392.777,25396.875,25389.831,25392.625,0.01557
2026.01.02 04:40:00,25392.766,25394.875,25388.531,25391.531,0.01215
2026.01.02 04:45:00,25391.592,25398.103,25389.625,25397.972,0.01108
2026.01.02 04:50:00,25398.092,25409.538,25396.972,25406.281,0.01621
2026.01.02 04:55:00,25406.658,25409.18,25404.211,25406.158,0.01105
