Time (EET),Open,High,Low,Close,Volume 
2026.01.02 01:00:00,25284.236,25287.322,25251.236,25262.116,0.01845
2026.01.02 01:05:00,25262.214,25277.061,25260.649,25276.17,0.01355
2026.01.02 01:10:00,25276.344,25292.736,25275.822,25281.42,0.01716
2026.01.02 01:15:00,25281.638,25293.019,25279.475,25282.311,0.01564
2026.01.02 01:20:00,25282.92,25291.975,25281.769,25290.019,0.01096
2026.01.02 01:25:00,25290.083,25294.42,25282.986,25284.061,0.01175
2026.01.02 01:30:00,25284.399,25297.699,25278.42,25293.997,0.01441
2026.01.02 01:35:00,25293.811,25297.949,25292.355,25293.811,0.00834
2026.01.02 01:40:00,25292.949,25294.594,25286.388,25291.877,0.00772
2026.01.02 01:45:00,25291.986,25303.699,25291.127,25299.692,0.01045
2026.01.02 01:50:00,25299.594,25299.997,25290.247,25290.247,0.00656
2026.01.02 01:55:00,25290.355,25298.079,25288.953,25297.964,0.00645
2026.01.02 02:00:00,25297.388,25299.829,25287.888,25295.986,0.0097
2026.01.02 02:05:00,25296.127,25300.769,25275.377,25281.05,0.01305
2026.01.02 02:10:00,25281.692,25293.949,25280.627,25288.236,0.01206
2026.01.02 02:15:00,25287.649,25300.442,25285.061,25299.703,0.01285
2026.01.02 02:20:00,25299.699,25308.747,25299.699,25302.931,0.01144
2026.01.02 02:25:00,25303.329,25309.008,25298.681,25306.811,0.007
2026.01.02 02:30:00,25306.464,25308.888,25304.55,25306.072,0.00792
2026.01.02 02:35:00,25306.388,25308.638,25299.561,25301.449,0.00832
2026.01.02 02:40:00,25301.519,25303.508,25294.747,25300.855,0.00854
2026.01.02 02:45:00,25300.953,25308.333,25300.138,25301.377,0.0119
2026.01.02 02:50:00,25301.449,25307.638,25298.083,25306.3,0.00748
2026.01.02 02:55:00,25306.431,25315.008,25304.072,25311.811,0.00812
2026.01.02 03:00:00,25312.975,25323.769,25311.67,25321.127,0.01883
2026.01.02 03:05:00,25321.199,25326.975,25320.366,25325.866,0.01498
2026.01.02 03:10:00,25325.736,25337.464,25325.736,25331.649,0.01459
2026.01.02 03:15:00,25332.105,25336.888,25328.464,25328.464,0.01487
2026.01.02 03:20:00,25328.949,25330.829,25319.55,25320.269,0.0174
2026.01.02 03:25:00,25320.061,25335.072,25319.747,25333.127,0.01307
2026.01.02 03:30:00,25333.203,25353.758,25332.333,25353.127,0.01943
2026.01.02 03:35:00,25352.605,25355.329,25348.8,25349.844,0.01529
2026.01.02 03:40:00,25349.475,25352.649,25348.377,25351.181,0.01003
2026.01.02 03:45:00,25351.377,25352.561,25347.833,25351.627,0.01052
2026.01.02 03:50:00,25351.67,25354.377,25346.931,25346.931,0.01168
2026.01.02 03:55:00,25346.855,25357.699,25343.138,25356.42,0.01258
2026.01.02 04:00:00,25356.649,25369.486,25356.322,25368.355,0.01426
2026.01.02 04:05:00,25368.203,25371.949,25363.877,25365.866,0.01375
2026.01.02 04:10:00,25365.747,25373.877,25361.964,25373.844,0.01184
2026.01.02 04:15:00,25373.942,25377.949,25369.769,25373.519,0.01236
2026.01.02 04:20:00,25373.355,25387.366,25372.05,25383.822,0.01272
2026.01.02 04:25:00,25383.931,25393.877,25383.931,25391.333,0.01283
2026.01.02 04:30:00,25390.92,25392.138,25386.311,25391.508,0.01203
2026.01.02 04:35:00,25391.583,25395.703,25388.747,25391.475,0.01181
2026.01.02 04:40:00,25391.616,25393.769,25387.431,25390.616,0.00922
2026.01.02 04:45:00,25390.453,25397.019,25388.464,25396.877,0.0084
2026.01.02 04:50:00,25397.199,25408.377,25395.877,25405.3,0.0123
2026.01.02 04:55:00,25405.442,25408.199,25403.05,25404.953,0.00838
2026.01.02 05:00:00,25404.019,25409.829,25401.508,25404.508,0.01135
2026.01.02 05:05:00,25404.811,25405.061,25397.281,25399.638,0.00768
2026.01.02 05:10:00,25399.931,25408.116,25399.019,25405.55,0.00849
2026.01.02 05:15:00,25405.855,25406.199,25401.572,25405.953,0.00777
2026.01.02 05:20:00,25406.105,25407.758,25400.355,25402.855,0.0077
2026.01.02 05:25:00,25402.681,25404.714,25400.703,25402.627,0.00587
2026.01.02 05:30:00,25402.703,25405.258,25394.8,25399.008,0.00902
2026.01.02 05:35:00,25399.061,25408.949,25395.583,25408.649,0.00772
2026.01.02 05:40:00,25408.094,25421.329,25407.953,25418.736,0.01151
2026.01.02 05:45:00,25418.855,25421.355,25412.822,25419.986,0.009
2026.01.02 05:50:00,25419.692,25424.736,25418.736,25421.616,0.00902
2026.01.02 05:55:00,25421.519,25425.42,25420.127,25424.714,0.00647
2026.01.02 06:00:00,25424.822,25426.225,25419.55,25423.17,0.00746
2026.01.02 06:05:00,25423.377,25428.072,25420.997,25426.844,0.00744
2026.01.02 06:10:00,25426.997,25432.322,25426.55,25428.094,0.00757
2026.01.02 06:15:00,25427.997,25431.116,25426.181,25428.486,0.00634
2026.01.02 06:20:00,25428.322,25431.953,25427.019,25431.953,0.00504
2026.01.02 06:25:00,25431.811,25436.583,25421.616,25428.594,0.0084
2026.01.02 06:30:00,25428.703,25429.8,25420.258,25420.703,0.00649
2026.01.02 06:35:00,25420.508,25426.247,25417.247,25422.736,0.00722
2026.01.02 06:40:00,25424.199,25434.699,25423.519,25432.579,0.00818
2026.01.02 06:45:00,25432.475,25432.475,25427.355,25429.583,0.00499
2026.01.02 06:50:00,25429.508,25433.366,25428.649,25429.699,0.00594
2026.01.02 06:55:00,25429.579,25429.579,25423.42,25425.05,0.00592
2026.01.02 07:00:00,25425.497,25426.866,25415.747,25417.333,0.00843
2026.01.02 07:05:00,25417.442,25427.519,25412.605,25423.877,0.01157
2026.01.02 07:10:00,25424.225,25424.829,25420.811,25422.627,0.0092
2026.01.02 07:15:00,25422.464,25427.736,25421.822,25425.844,0.00922
2026.01.02 07:20:00,25426.149,25432.449,25425.758,25431.203,0.00724
2026.01.02 07:25:00,25431.399,25432.464,25426.692,25430.486,0.00574
2026.01.02 07:30:00,25431.105,25432.079,25426.388,25428.55,0.00455
2026.01.02 07:35:00,25428.399,25429.008,25425.855,25425.986,0.00671
2026.01.02 07:40:00,25426.061,25426.703,25421.269,25422.769,0.00669
2026.01.02 07:45:00,25422.519,25430.519,25422.3,25429.736,0.00491
2026.01.02 07:50:00,25429.594,25437.747,25429.322,25435.519,0.00667
2026.01.02 07:55:00,25435.344,25442.572,25435.344,25438.736,0.00656
2026.01.02 08:00:00,25438.594,25440.866,25434.377,25439.986,0.00568
2026.01.02 08:05:00,25439.8,25443.579,25437.605,25441.127,0.00565
2026.01.02 08:10:00,25441.17,25443.616,25439.399,25439.431,0.00541
2026.01.02 08:15:00,25439.55,25443.079,25438.92,25441.866,0.0059
2026.01.02 08:20:00,25441.829,25443.199,25440.486,25440.855,0.00581
2026.01.02 08:25:00,25441.05,25442.725,25437.829,25439.199,0.00541
2026.01.02 08:30:00,25438.833,25439.649,25434.008,25437.258,0.007
2026.01.02 08:35:00,25437.3,25441.486,25435.105,25439.699,0.00548
2026.01.02 08:40:00,25439.311,25448.949,25439.311,25446.225,0.0068
2026.01.02 08:45:00,25446.322,25448.627,25435.931,25438.583,0.007
2026.01.02 08:50:00,25437.953,25440.094,25436.333,25439.269,0.00605
2026.01.02 08:55:00,25439.616,25441.127,25435.583,25436.888,0.00737
2026.01.02 09:00:00,25436.105,25446.844,25434.664,25436.029,0.02377
2026.01.02 09:05:00,25436.305,25440.066,25434.5,25437.12,0.01998
2026.01.02 09:10:00,25437.088,25438.649,25430.219,25430.219,0.01966
2026.01.02 09:15:00,25430.066,25431.838,25424.305,25425.533,0.02039
2026.01.02 09:20:00,25425.392,25435.642,25423.544,25435.022,0.01562
2026.01.02 09:25:00,25434.969,25440.779,25431.533,25435.566,0.01859
2026.01.02 09:30:00,25435.827,25439.849,25433.469,25433.958,0.01764
2026.01.02 09:35:00,25434.022,25439.055,25433.294,25438.338,0.01602
2026.01.02 09:40:00,25438.414,25442.12,25436.783,25438.219,0.01733
2026.01.02 09:45:00,25438.077,25438.588,25427.022,25427.186,0.01917
2026.01.02 09:50:00,25427.25,25430.779,25425.522,25429.533,0.01746
2026.01.02 09:55:00,25429.338,25441.899,25428.903,25436.327,0.0228
2026.01.02 10:00:00,25436.088,25454.555,25435.914,25448.947,0.04775
2026.01.02 10:05:00,25448.827,25462.458,25448.827,25461.12,0.03645
2026.01.02 10:10:00,25461.088,25490.969,25459.25,25487.708,0.03037
2026.01.02 10:15:00,25487.816,25491.219,25483.805,25487.75,0.03227
2026.01.02 10:20:00,25488,25499.399,25483,25483.533,0.03964
2026.01.02 10:25:00,25483.686,25497.522,25478.044,25486.044,0.03654
2026.01.02 10:30:00,25485.87,25491.533,25474.708,25490.37,0.03433
2026.01.02 10:35:00,25490.149,25490.529,25479.849,25482.37,0.03051
2026.01.02 10:40:00,25482.719,25493.969,25480.577,25491.029,0.02394
2026.01.02 10:45:00,25491.425,25501.577,25489.399,25498.947,0.0274
2026.01.02 10:50:00,25498.772,25516.599,25497.719,25511.066,0.03618
2026.01.02 10:55:00,25510.783,25515.649,25506.511,25508.099,0.03605
2026.01.02 11:00:00,25508.149,25523.838,25503.664,25514.75,0.05305
2026.01.02 11:05:00,25514.903,25526.142,25510.75,25522.033,0.04041
2026.01.02 11:10:00,25522.149,25536.719,25521.899,25533.381,0.03816
2026.01.02 11:15:00,25533.305,25534.099,25514.577,25524.838,0.03879
2026.01.02 11:20:00,25525,25528.816,25517.044,25519.022,0.03073
2026.01.02 11:25:00,25519.219,25531.899,25515.469,25531.381,0.03037
2026.01.02 11:30:00,25531.327,25532.816,25522.25,25526.077,0.03168
2026.01.02 11:35:00,25525.925,25530.649,25524.481,25529.208,0.02569
2026.01.02 11:40:00,25529.436,25531.399,25525.87,25527.892,0.02156
2026.01.02 11:45:00,25527.653,25532.399,25520.566,25522.899,0.02462
2026.01.02 11:50:00,25523.066,25528.529,25519.294,25528.077,0.02389
2026.01.02 11:55:00,25528.219,25534.399,25520.011,25530.838,0.02768
2026.01.02 12:00:00,25532,25534.577,25522.588,25527.066,0.02975
2026.01.02 12:05:00,25527.197,25528.697,25520.969,25524.719,0.02525
2026.01.02 12:10:00,25524.533,25534.664,25521.664,25523.566,0.02758
2026.01.02 12:15:00,25523.838,25533.761,25522.75,25524.588,0.02925
2026.01.02 12:20:00,25524.925,25527.305,25511.077,25512.5,0.02866
2026.01.02 12:25:00,25512.088,25517.077,25509.816,25514.077,0.02637
2026.01.02 12:30:00,25514.219,25516.055,25505.164,25505.761,0.02722
2026.01.02 12:35:00,25505.5,25515.649,25505.414,25514.208,0.02376
2026.01.02 12:40:00,25513.925,25520.969,25513.294,25520.029,0.02192
2026.01.02 12:45:00,25519.969,25533.399,25518.914,25533.044,0.02443
2026.01.02 12:50:00,25532.779,25533.761,25527.631,25529.686,0.02043
2026.01.02 12:55:00,25529.925,25531.779,25524.805,25527.892,0.02016
2026.01.02 13:00:00,25528,25540.055,25526.588,25534.272,0.02538
2026.01.02 13:05:00,25534.779,25535.899,25528.686,25530.066,0.01737
2026.01.02 13:10:00,25529.642,25535.529,25529.099,25532.522,0.02101
2026.01.02 13:15:00,25532.279,25533.664,25520.099,25520.349,0.02205
2026.01.02 13:20:00,25520.164,25523.327,25516.142,25519.088,0.01827
2026.01.02 13:25:00,25519.283,25519.62,25511.414,25514.588,0.0225
2026.01.02 13:30:00,25514.349,25520.37,25514.25,25519.392,0.02016
2026.01.02 13:35:00,25519.522,25524.283,25518.794,25520.055,0.02547
2026.01.02 13:40:00,25519.914,25526.529,25518.555,25524.697,0.01786
2026.01.02 13:45:00,25524.577,25526.544,25521.261,25524.892,0.01903
2026.01.02 13:50:00,25525.066,25526.779,25519.088,25519.279,0.01665
2026.01.02 13:55:00,25518.5,25525.914,25513.936,25524.392,0.0243
2026.01.02 14:00:00,25524.566,25524.566,25497.708,25499.533,0.04383
2026.01.02 14:05:00,25500.294,25503.279,25490.272,25491.914,0.03222
2026.01.02 14:10:00,25492.077,25492.149,25477.881,25489.403,0.04104
2026.01.02 14:15:00,25489.316,25499.029,25489.316,25495.631,0.03254
2026.01.02 14:20:00,25495.533,25496.903,25486.272,25486.272,0.02489
2026.01.02 14:25:00,25486.37,25494.838,25486.011,25492.779,0.02466
2026.01.02 14:30:00,25492.649,25501.447,25492.12,25493.816,0.02664
2026.01.02 14:35:00,25493.566,25493.849,25485.425,25492.279,0.02911
2026.01.02 14:40:00,25491.849,25502.899,25486.631,25500.533,0.02551
2026.01.02 14:45:00,25500.399,25502.022,25495.664,25496.131,0.02615
2026.01.02 14:50:00,25496.719,25500.899,25490.881,25496.055,0.02709
2026.01.02 14:55:00,25496.186,25501.544,25493.599,25500,0.02578
2026.01.02 15:00:00,25500.197,25507.899,25499.099,25500.87,0.05144
2026.01.02 15:05:00,25501.838,25510.044,25499.816,25502.149,0.04995
2026.01.02 15:10:00,25502.088,25509.261,25499,25504.642,0.04824
2026.01.02 15:15:00,25505.175,25510.055,25499.947,25507.077,0.05328
2026.01.02 15:20:00,25507.25,25510.294,25495.25,25496.719,0.05769
2026.01.02 15:25:00,25496.599,25501.697,25491.011,25499.686,0.06637
2026.01.02 15:30:00,25499.75,25504.197,25491.055,25495.783,0.06759
2026.01.02 15:35:00,25495.881,25504.899,25493.197,25494.631,0.07083
2026.01.02 15:40:00,25495.066,25502.899,25491.805,25497.066,0.05778
2026.01.02 15:45:00,25496.892,25503.664,25492.555,25492.925,0.05436
2026.01.02 15:50:00,25492.011,25495.588,25484.87,25487.066,0.06957
2026.01.02 15:55:00,25486.936,25504.458,25482.131,25494.761,0.07767
2026.01.02 16:00:00,25494.62,25508.899,25491.197,25507.779,0.10593
2026.01.02 16:05:00,25507.75,25509.099,25490.099,25496.544,0.09252
2026.01.02 16:10:00,25497.294,25499.099,25476.62,25477.75,0.09126
2026.01.02 16:15:00,25477.664,25484.12,25471.033,25471.892,0.08865
2026.01.02 16:20:00,25472.044,25482.899,25465.529,25480.697,0.09944
2026.01.02 16:25:00,25480.827,25499.794,25474.947,25489.164,0.13257
2026.01.02 16:30:00,25485.033,25535.686,25457.077,25481.458,0.25704
2026.01.02 16:35:00,25478.719,25502.881,25450.175,25451.338,0.25065
2026.01.02 16:40:00,25451.399,25495.816,25437.697,25489.305,0.24696
2026.01.02 16:45:00,25490.349,25577.577,25490,25556.783,0.23868
2026.01.02 16:50:00,25557.055,25602.779,25533.175,25547.327,0.22963
2026.01.02 16:55:00,25547.827,25558.779,25531.403,25535.881,0.20979
2026.01.02 17:00:00,25535.849,25582.077,25532.849,25539.702,0.21681
2026.01.02 17:05:00,25539.343,25541.954,25496.909,25501.795,0.22518
2026.01.02 17:10:00,25501.175,25506.995,25396.181,25406.371,0.23334
2026.01.02 17:15:00,25406.328,25407.968,25355.312,25379.197,0.23886
2026.01.02 17:20:00,25379.567,25380.85,25285.049,25290.209,0.24093
2026.01.02 17:25:00,25289.289,25312.589,25262.981,25295.631,0.23904
2026.01.02 17:30:00,25295.839,25351.889,25274.591,25343.222,0.23121
2026.01.02 17:35:00,25343.418,25367.334,25324.974,25361.483,0.2214
2026.01.02 17:40:00,25361.733,25408.114,25353.679,25387.321,0.22455
2026.01.02 17:45:00,25388.235,25398.157,25333.144,25335.46,0.22446
